Borough,Station,Lines,latitude,longitude,ID,AWR_2011,AWR_2012,AWR_2013,AWR_2014,AWR_2015,AWR_2016,AWR_2017,AWR_2018
Manhattan,14th Street - Union Square,LNQRW456,40.7346730009961,-73.9899509988188,337,107352,108000,108158,109472,108440,106718,107141,103572
Manhattan,14th Street,ACEL,40.7408930001932,-74.0016899993702,92,38802,40990,42718,43953,45253,44680,43434,44031
Manhattan,14th Street,FM123L,40.7382279996951,-73.9962089992135,223,47831,49237,49316,49990,50335,50692,48565,48508
Manhattan,34th Street - Herald Square,BDFMNQRW,40.7496445600944,-73.9879368338264,264,121081,121120,122517,125355,126776,125682,127664,126576
Manhattan,34th Street  - Penn Station,123,40.7503730000394,-73.9910569991398,271,87482,88929,90042,92693,92176,90524,85585,85180
Manhattan,34th Street - Penn Station,ACE,40.7522870007758,-73.9933909997057,311,81585,82511,83717,85634,84778,82584,78904,80346
Manhattan,42nd Street - Bryant Park,BDFM7,40.7541840013125,-73.9845909990471,98,50375,51962,53222,54289,55400,57793,57395,55872
Manhattan,47th to 50th Streets  - Rockefeller Center,BDFM,40.7586410015981,-73.9813310022770,262,59979,59749,61099,62693,63803,62283,61478,61027
Manhattan,59th Street - Columbus Circle,ABCD1,40.7682495317760,-73.9816487230139,178,67901,69653,72236,74572,73954,73836,73105,73003
Queens,Roosevelt Avenue - Jackson Heights,EFMR7,40.7465396911588,-73.8912986651969,244,49828,50194,50841,51285,51925,52296,52018,51766
Manhattan,86th Street,456,40.7794919982095,-73.9555889998513,259,62214,63550,64741,65634,65948,64793,45882,43169
Brooklyn,Atlantic Avenue - Barclays Center,BDNQR2345,40.6836656672794,-73.9788099995676,31,33160,35670,39871,41645,42231,42711,42095,43211
Manhattan,Canal Street,JNQRWZ6,40.7181738769739,-73.9998263854593,346,45700,45952,44696,44362,44409,45030,47601,47034
Queens,Flushing - Main Street,7,40.7595999991501,-73.8300300026250,324,60184,60540,60190,60252,60226,60259,58511,55669
Manhattan,Fulton Street,ACJZ2345,40.7100226665842,-74.0079380011038,22,63203,62779,64461,69444,74676,85440,91771,92990
Manhattan,Grand Central - 42nd Street,S4567,40.7518074298163,-73.9767132992584,200,147644,150266,153861,157899,160294,158580,154711,155345
Brooklyn,Jay Street - Borough Hall - MetroTech,ACFR,40.6924706368470,-73.9872181526731,79,38037,39561,40183,41405,43456,44267,43833,42274
Manhattan,51st Street,EM6,40.7574683078286,-73.9690723749020,229,66045,67821,69973,70606,70686,69750,66118,64499
Manhattan,59th Street,NWR456,40.7625260003045,-73.9673750171143,288,65855,67478,67841,69332,68988,67684,58467,55608
Manhattan,42nd Street,NQRWS1237ACE,40.7559830005700,-73.9876909982515,209,189426,195464,197696,204908,206247,202363,203545,204017
